sample	MX1303_C5JC4ACXX_3_TAGGAT	MX1304_C5JC4ACXX_4_CCGGTG	MX1305_C5JC4ACXX_5_TGTTGG	MX1306_C5JC4ACXX_6_GTATAG	MX1307_C5JC4ACXX_7_AGCATC	MX1307_C5JC4ACXX_7_CAGGCC	MX1310_C5JC1ACXX_4_CTCTAC	MX1310_C5JC1ACXX_4_GGAACT	MX1310_C5JC1ACXX_4_GGACGG	MX1310_C5JC1ACXX_4_TGACAT	MX1355_C6RGTANXX_2_AAGCTA	MX1355_C6RGTANXX_2_ACATCG	MX1355_C6RGTANXX_2_CAAGTT	MX1355_C6RGTANXX_2_CATTCA	MX1355_C6RGTANXX_2_GGAACT	MX1356_C6RGTANXX_3_ATGGCA	MX1356_C6RGTANXX_3_CCTTGC	MX1356_C6RGTANXX_3_CGGCCT	MX1356_C6RGTANXX_3_GCGTGG	MX1356_C6RGTANXX_3_GCTGTA	MX1356_C6RGTANXX_3_GTATAG	MX1356_C6RGTANXX_3_TAGTTG	MX1356_C6RGTANXX_3_TGACAT	MX1357_C6RGTANXX_4_AATTAT	MX1357_C6RGTANXX_4_AGTCTT	MX1357_C6RGTANXX_4_CATGGG	MX1357_C6RGTANXX_4_GCCTAA	MX1357_C6RGTANXX_4_GTAGCC	MX1357_C6RGTANXX_4_TATCGT	MX1357_C6RGTANXX_4_TCTGAG
hsa-let-7d-3p	21.25	34.90	32.14	54.37	12.94	12.50	8.31	49.33	16.79	31.08	16.70	13.49	17.18	17.48	13.09	33.53	24.10	4.88	17.42	40.83	16.34	8.57	48.14	17.45	15.30	12.66	26.26	43.02	33.41	20.07
hsa-let-7d-5p	16.03	25.24	39.75	38.90	15.21	11.80	14.97	67.42	60.35	48.65	67.58	42.52	57.89	82.53	124.62	55.54	47.73	11.83	23.96	51.30	37.27	14.48	81.77	51.37	53.35	38.10	51.67	77.13	64.05	54.90
hsa-let-7e-3p	18.64	22.54	7.37	19.37	11.64	8.10	5.85	12.84	9.55	21.92	8.93	6.40	4.11	3.86	5.47	11.81	14.66	4.63	8.10	13.18	13.79	8.86	14.62	13.33	10.04	7.86	20.49	19.30	14.73	15.45
hsa-let-7e-5p	1181.22	1482.41	1172.98	1574.43	1046.89	491.04	768.39	1009.90	1379.82	1197.23	557.35	470.40	488.48	700.76	1115.60	1232.99	1253.87	321.99	641.06	1328.54	1349.13	523.75	1325.17	1277.42	759.30	656.20	1043.76	976.76	933.68	972.14
hsa-let-7f-1-3p	0.44	1.16	2.26	0.96	0.23	0.32	0.00	1.49	0.17	0.53	0.39	0.21	0.00	0.45	0.18	0.58	0.20	0.00	0.34	0.54	0.24	0.30	0.56	0.39	0.43	0.35	0.29	0.29	0.61	0.48
hsa-let-7f-5p	49.39	142.74	177.00	147.44	84.37	47.77	22.88	81.73	79.23	64.27	123.51	104.07	169.18	209.67	199.58	184.39	80.81	16.71	41.11	155.65	72.34	24.52	147.94	109.02	66.98	49.95	69.03	101.08	93.70	58.83
hsa-let-7f-2-3p	0.00	0.00	0.03	0.05	0.08	0.00	0.22	0.38	0.27	0.39	0.39	0.28	0.00	0.00	0.09	0.00	0.13	0.00	0.00	0.06	0.07	0.00	0.07	0.20	0.09	0.00	0.11	0.06	0.08	0.12
hsa-let-7f-5p	35.54	117.83	155.42	114.97	70.09	40.12	18.23	57.00	58.60	43.22	119.63	101.16	166.75	204.11	188.82	154.65	65.16	14.91	36.41	136.32	57.05	23.93	114.27	81.18	45.38	37.40	41.62	75.98	70.34	41.06
hsa-let-7g-3p	0.00	0.00	0.10	0.05	0.04	0.00	0.05	0.07	0.00	0.06	0.00	0.18	0.00	0.11	0.18	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.11	0.00	0.00	0.12	0.00	0.00	0.03	0.00
hsa-let-7g-5p	3.92	18.67	7.02	7.74	3.92	3.44	2.59	7.82	6.77	6.15	24.47	18.62	19.42	34.06	47.70	14.87	11.42	1.93	5.58	12.55	8.19	2.66	14.55	9.02	7.16	6.21	8.91	11.14	11.24	7.48
hsa-let-7i-3p	10.37	15.84	20.93	24.68	9.10	6.82	11.35	18.14	10.02	22.78	6.99	5.10	4.67	19.19	4.57	41.54	10.50	2.06	18.65	68.05	15.67	5.91	41.39	22.75	7.08	8.91	8.45	17.17	48.22	13.63
hsa-let-7i-5p	32.49	67.61	115.29	102.88	45.28	33.23	23.55	102.14	64.22	53.13	54.76	42.69	54.15	74.70	49.58	172.73	67.08	19.15	39.27	213.19	57.89	36.04	189.40	82.74	68.62	73.39	72.84	147.14	131.75	52.78
hsa-miR-1-3p	4.01	7.73	5.62	13.96	4.26	2.62	2.10	5.92	5.61	4.40	3.88	3.48	2.24	4.54	15.78	6.12	5.08	0.26	1.91	2.70	4.81	0.30	3.55	8.24	3.11	1.17	4.38	5.17	4.50	2.03
hsa-miR-1-5p	0.00	0.19	0.00	0.30	0.12	0.06	0.00	0.12	0.17	0.20	0.00	0.04	0.19	0.00	0.18	0.15	0.07	0.00	0.07	0.03	0.28	0.00	0.16	0.20	0.06	0.00	0.14	0.00	0.24	0.09
hsa-miR-1-3p	4.01	7.66	5.52	13.81	4.26	2.62	2.06	5.68	5.51	4.34	3.88	3.48	2.24	4.54	15.69	6.12	5.02	0.26	1.84	2.58	4.77	0.30	3.48	7.84	3.11	1.17	4.35	5.11	4.37	2.03
hsa-miR-100-3p	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
hsa-miR-100-5p	11.93	9.34	8.43	11.03	29.53	45.03	6.39	32.82	14.62	15.82	142.93	28.39	32.30	64.71	28.69	17.64	7.33	10.54	3.81	11.62	18.29	13.00	11.58	24.31	84.61	42.68	94.37	92.98	11.64	12.11
hsa-miR-101-3p	952.16	2147.77	2285.42	1999.20	1552.53	1154.15	354.33	1477.32	1576.01	1254.31	784.18	733.61	520.23	923.15	1374.79	3889.47	1290.71	300.01	474.24	1306.39	956.32	456.10	1798.85	1694.86	1626.86	991.98	1375.11	1766.06	1217.19	1036.70
hsa-miR-101-5p	22.65	58.14	61.81	43.40	40.09	30.68	12.56	54.35	51.96	45.81	10.10	9.24	7.66	9.54	19.10	24.05	13.27	2.31	4.22	11.44	9.40	4.43	12.98	17.65	17.11	10.08	13.47	16.89	12.34	12.85
hsa-miR-101-3p	982.03	2219.24	2365.01	2062.53	1611.14	1202.43	370.28	1538.56	1645.02	1302.18	814.08	759.47	536.47	954.25	1420.88	4067.88	1367.23	313.89	493.71	1390.11	1016.12	472.35	1908.75	1759.57	1705.34	1034.07	1437.48	1835.10	1269.70	1080.11
hsa-miR-103a-3p	642.61	846.35	660.82	670.18	1471.74	983.48	215.28	967.89	719.17	519.06	1425.81	1368.07	992.09	1833.92	1652.10	588.87	725.51	340.11	410.06	571.02	745.70	338.24	821.96	503.52	685.93	508.71	682.59	632.74	356.26	440.06
hsa-miR-103a-2-5p	8.54	8.37	4.69	5.51	5.07	4.40	3.08	7.25	6.23	7.18	21.36	16.27	7.66	9.65	10.49	6.12	8.91	4.24	9.12	7.05	10.94	3.55	10.43	5.29	4.17	5.04	4.70	4.37	6.10	12.43
hsa-miR-103a-3p	647.05	849.63	664.90	673.97	1477.76	987.43	216.26	974.95	724.64	522.29	1431.25	1371.79	994.51	1836.42	1656.13	596.02	733.76	343.07	414.28	576.15	752.22	341.78	830.21	508.42	693.41	514.10	692.46	639.57	360.34	444.98
hsa-miR-103b	8832.25	8968.21	8919.38	7248.73	12004.60	8194.60	2752.76	12224.70	9569.83	6891.62	7159.35	7233.05	4860.35	9206.26	9162.62	7876.46	10838.70	4379.80	6194.06	7622.39	10156.30	4895.42	11245.00	7060.43	8055.66	6344.50	7445.58	7741.16	5447.61	7114.09
hsa-miR-103b	8832.25	8968.21	8919.38	7248.73	12004.60	8194.60	2752.76	12224.70	9569.83	6891.62	7159.35	7233.05	4860.35	9206.26	9162.62	7876.46	10838.60	4379.80	6194.06	7622.39	10156.30	4895.42	11245.00	7060.43	8055.66	6344.50	7445.58	7741.16	5447.61	7114.09
hsa-miR-105-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-105-5p	0.09	0.19	0.10	0.25	0.08	0.00	0.09	0.76	0.39	0.59	1.55	2.53	1.49	0.91	1.35	0.15	0.20	0.26	0.14	0.03	0.21	0.00	0.11	0.20	0.00	0.35	0.04	0.06	0.00	0.39
hsa-miR-105-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-105-5p	0.09	0.19	0.10	0.25	0.08	0.00	0.09	0.76	0.39	0.59	1.55	2.53	1.49	0.91	1.35	0.15	0.20	0.26	0.14	0.03	0.21	0.00	0.11	0.20	0.00	0.35	0.04	0.06	0.00	0.39
hsa-miR-106a-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.02	0.00	0.03	0.00	0.04	0.19	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.04	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-106a-5p	7.23	6.12	3.77	2.88	5.45	4.21	2.46	12.53	6.01	9.77	35.73	49.96	37.72	28.95	22.33	6.12	10.96	16.84	20.62	6.48	16.58	19.50	14.00	5.49	4.95	5.86	6.31	4.19	4.74	13.33
hsa-miR-106b-3p	0.26	0.13	0.34	0.20	0.04	0.06	0.09	0.50	0.35	0.36	1.17	1.97	3.17	1.59	1.35	0.29	0.46	0.77	0.20	0.21	0.35	0.30	0.44	0.78	0.72	0.12	0.50	0.35	0.24	0.54
hsa-miR-106b-5p	0.61	0.64	0.48	0.56	0.65	0.51	0.98	0.97	0.76	1.25	3.88	5.17	5.79	4.77	2.96	1.31	1.52	0.64	0.54	1.65	1.71	2.07	2.42	1.57	1.50	1.64	1.11	1.26	1.28	1.88
hsa-miR-107	34.93	37.60	35.09	30.25	57.80	41.39	12.96	47.27	36.43	28.38	148.37	136.36	130.52	196.84	181.82	47.08	54.14	23.52	29.95	46.77	47.54	22.16	65.71	34.51	44.32	34.59	42.30	41.93	29.20	36.77
hsa-miR-10a-3p	0.00	0.00	0.03	0.00	0.00	0.06	0.00	0.07	0.03	0.00	0.00	0.07	0.19	0.00	0.00	0.15	0.00	0.00	0.00	0.09	0.04	0.00	0.04	0.00	0.03	0.00	0.00	0.12	0.11	0.03
hsa-miR-10a-5p	20.64	18.80	7.16	11.73	7.49	43.31	4.02	13.29	7.19	5.76	42.72	49.65	76.93	74.70	53.08	9.62	11.49	4.24	8.24	8.98	9.27	5.02	14.26	2.94	6.59	4.81	6.20	8.85	9.46	8.26
hsa-miR-10b-3p	0.70	2.25	4.01	1.77	0.77	3.13	0.27	2.82	0.52	0.25	0.00	0.53	1.31	2.27	1.08	1.75	1.32	0.00	0.54	0.15	0.28	0.30	1.80	0.98	1.70	1.29	0.18	1.09	3.41	0.27
hsa-miR-10b-5p	1829.32	2878.16	2827.49	4520.83	772.70	8298.69	520.95	3418.30	966.34	1114.22	965.95	2525.00	2163.81	5551.93	1144.73	3087.50	2554.49	438.44	1945.29	549.35	1086.27	794.93	5618.66	1243.70	4701.25	2223.95	485.41	3613.57	11963.00	840.34
hsa-miR-1178-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1178-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1179	0.09	0.19	0.17	0.15	0.04	0.13	0.05	0.14	0.32	0.03	0.00	0.18	0.19	0.00	0.36	0.00	0.26	0.00	0.07	0.15	0.10	0.00	0.09	0.00	0.12	0.23	0.21	0.00	0.16	0.18
hsa-miR-1180-3p	0.35	0.19	0.14	0.41	0.04	0.38	0.05	0.36	0.25	0.56	0.00	0.25	0.56	0.23	0.45	0.15	0.20	0.00	0.48	0.18	0.17	0.00	0.13	0.00	0.06	0.00	0.11	0.00	0.13	0.03
hsa-miR-1180-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1181	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1184	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-1184	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-1184	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-1185-1-3p	5.31	7.47	4.52	2.48	3.07	1.98	2.82	3.46	5.56	5.65	1.55	1.48	0.56	1.59	2.87	1.60	4.29	1.29	2.65	0.96	2.68	1.77	1.55	2.16	1.38	1.06	1.14	1.26	1.44	2.80
hsa-miR-1185-5p	6.79	11.01	5.83	6.83	4.46	2.36	5.76	5.00	7.61	11.97	5.83	4.15	2.99	4.54	5.02	4.66	8.39	1.80	9.12	2.61	7.91	2.07	4.55	5.69	3.39	1.99	5.77	5.05	5.86	6.92
hsa-miR-1185-2-3p	0.26	1.22	0.58	0.56	0.38	0.06	0.54	0.59	0.62	1.00	0.78	0.32	0.00	0.57	0.27	0.15	1.12	0.13	0.68	0.30	0.56	0.30	0.16	0.39	0.35	0.70	0.32	0.40	0.35	0.63
hsa-miR-1185-5p	6.79	11.01	5.83	6.83	4.46	2.36	5.76	5.00	7.61	11.97	5.83	4.15	2.99	4.54	5.02	4.66	8.39	1.80	9.12	2.61	7.91	2.07	4.55	5.69	3.39	1.99	5.77	5.05	5.86	6.92
hsa-miR-1193	0.09	0.06	0.03	0.15	0.08	0.00	0.09	0.28	0.10	0.03	0.00	0.07	0.00	0.23	0.00	0.15	0.00	0.00	0.14	0.06	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.06	0.00	0.06
hsa-miR-1197	21.17	19.70	7.33	4.55	8.79	6.76	29.00	15.44	10.90	22.42	6.21	4.92	5.23	13.85	8.52	2.62	12.02	3.60	30.90	1.92	8.99	5.02	3.99	3.73	0.78	0.94	0.93	0.86	3.97	12.29
hsa-miR-1199-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1199-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
hsa-miR-1205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1206	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1207-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1207-5p	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1208	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-122-3p	0.00	0.19	0.03	0.05	0.08	0.13	0.00	1.61	0.00	0.00	1.94	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.30	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-122-5p	9.41	10.17	7.74	4.20	5.38	7.46	0.13	121.23	0.25	0.25	99.04	20.03	1.31	1.59	0.72	0.00	14.00	1.67	0.61	0.12	37.37	16.25	0.13	0.78	0.03	0.12	0.04	0.12	0.19	0.06
hsa-miR-1224-3p	0.00	0.00	0.00	0.00	0.00	0.06	0.05	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
hsa-miR-1224-5p	0.44	0.39	0.24	0.25	0.15	0.06	0.05	0.36	0.03	0.31	0.39	0.18	0.00	0.34	0.00	0.44	0.20	0.00	0.00	0.21	0.07	0.00	0.49	0.00	0.03	0.12	0.11	0.00	0.32	0.06
hsa-miR-1225-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1225-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
hsa-miR-1226-3p	4.79	2.32	1.82	3.09	2.50	2.81	2.19	2.84	2.66	5.24	5.05	4.11	3.36	1.82	1.70	1.02	3.17	1.93	3.61	1.47	5.47	2.07	2.37	3.73	1.44	0.94	2.71	2.07	1.79	3.16
hsa-miR-1226-5p	0.00	0.06	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.26	0.07	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.00
hsa-miR-1227-3p	0.00	0.00	0.03	0.05	0.00	0.06	0.05	0.05	0.05	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.03	0.00	0.30	0.07	0.00	0.00	0.00	0.00	0.00	0.05	0.00
hsa-miR-1227-5p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1228-3p	2.87	4.06	3.19	2.73	3.30	2.49	1.65	2.13	2.83	3.95	1.55	2.50	2.61	1.14	2.33	0.58	2.38	2.06	5.72	0.93	4.25	3.25	1.33	0.98	0.35	1.29	0.43	0.63	1.36	5.22
hsa-miR-1228-5p	2.87	2.64	1.41	3.04	1.46	0.83	0.98	1.09	1.75	2.09	0.00	2.00	2.43	0.80	1.35	0.44	2.11	2.83	2.11	0.57	2.23	1.77	0.44	0.98	0.60	1.29	0.39	0.23	0.88	2.51
hsa-miR-1229-3p	0.09	0.06	0.00	0.10	0.04	0.00	0.05	0.02	0.05	0.00	0.00	0.04	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.03
hsa-miR-1229-5p	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1231	0.00	0.06	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-miR-1233-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.03	0.03	0.00	0.04	0.00	0.00	0.09	0.00	0.00	0.00	0.07	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
hsa-miR-1233-5p	0.00	0.00	0.00	0.10	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.15	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
